Repositorio;Branch;Link
Varejo_Commons;WEB0139_FASE2;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/Varejo_Commons?_a=contents&version=GBWEB0139_FASE2
Varejo_Commons;WEB0158;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/Varejo_Commons?_a=contents&version=GBWEB0158
Varejo_Commons;master;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/Varejo_Commons?_a=contents&version=GBmaster
TIM_Components_customerElegibility;WEB0326;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/TIM_Components_customerElegibility?_a=contents&version=GBWEB0326
TIM_Components_customerElegibility;master;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/TIM_Components_customerElegibility?_a=contents&version=GBmaster
TIM_Component_invoices;master;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/TIM_Component_invoices?_a=contents&version=GBmaster
MeuTIM_acc-portlet-faletim;master;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/MeuTIM_acc-portlet-faletim?_a=contents&version=GBmaster
WEB_VAS;master;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/WEB_VAS?_a=contents&version=GBmaster
MeuTIM_pweb-portlet-ultimasSolicitacoes;master;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/MeuTIM_pweb-portlet-ultimasSolicitacoes?_a=contents&version=GBmaster
MeuTIM_pweb-services-portal;WEB0003;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/MeuTIM_pweb-services-portal?_a=contents&version=GBWEB0003
MeuTIM_pweb-services-portal;WEB0016;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/MeuTIM_pweb-services-portal?_a=contents&version=GBWEB0016
MeuTIM_pweb-services-portal;WEB0116;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/MeuTIM_pweb-services-portal?_a=contents&version=GBWEB0116
MeuTIM_pweb-services-portal;WEB0165;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/MeuTIM_pweb-services-portal?_a=contents&version=GBWEB0165
MeuTIM_pweb-services-portal;WEB0177;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/MeuTIM_pweb-services-portal?_a=contents&version=GBWEB0177
MeuTIM_pweb-services-portal;master;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/MeuTIM_pweb-services-portal?_a=contents&version=GBmaster
Portal_Internet_pweb-dpm-util;master;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/Portal_Internet_pweb-dpm-util?_a=contents&version=GBmaster
MeuTIM_ pweb-portlet-meusDados;master;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/MeuTIM_ pweb-portlet-meusDados?_a=contents&version=GBmaster
MeuTIM_pweb-portlet-saldoInfoUltimaConta;SDN345499;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/MeuTIM_pweb-portlet-saldoInfoUltimaConta?_a=contents&version=GBSDN345499
MeuTIM_pweb-portlet-saldoInfoUltimaConta;WEB0016;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/MeuTIM_pweb-portlet-saldoInfoUltimaConta?_a=contents&version=GBWEB0016
MeuTIM_pweb-portlet-saldoInfoUltimaConta;WEB0111;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/MeuTIM_pweb-portlet-saldoInfoUltimaConta?_a=contents&version=GBWEB0111
MeuTIM_pweb-portlet-saldoInfoUltimaConta;WEB0129;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/MeuTIM_pweb-portlet-saldoInfoUltimaConta?_a=contents&version=GBWEB0129
MeuTIM_pweb-portlet-saldoInfoUltimaConta;WEB0155;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/MeuTIM_pweb-portlet-saldoInfoUltimaConta?_a=contents&version=GBWEB0155
